식당명,음식,주소,gyung,wedo
골목떡볶이,국물떡볶이,서울 송파구 문정동 44,127.12348089194,37.4890443377015
감미치킨,바비큐치킨,서울 송파구 풍납동 405,127.116384155697,37.5293722921055
이조보쌈,모둠보쌈,서울 영등포구 당산동 295,0,0
영일분식,칼비빔국수,서울 영등포구 문래동4가 8-26,126.889678460315,37.5163137593442
너도나도식당,우렁된장찌개,서울 영등포구 양평동5가 57-1,126.893907734156,37.5382475611022
장원북어국,북어국,서울 영등포구 여의도동 226-36,0,0
서궁,오향장육 쇠고기군만두,서울 영등포구 여의도동 43-3 홍우빌딩 1층,126.931153749896,37.5208193273207
미스터 칠드런,즉석떡볶이,서울 영등포구 여의도동 44-14,126.931456195778,37.5193787996172
왕타이,팟타이,서울 용산구 이태원1동 176-2 ,126.990699412578,37.5345042517202
라이너스바베큐,폴드포크,서울 용산구 이태원1동 56-20,126.989675690898,37.5337963403534
마라케쉬나이트,모로코 요리,서울 용산구 이태원동 127-12,126.994213272963,37.5342646297471
매덕스피자,피자,서울 용산구 이태원동 129-9,126.993526018193,37.5333521504055
선다래,비프 오므라이스,서울 용산구 청파동2가 55-8,126.965593084474,37.5450021122953
청파 쌍대포,돼지껍데기,서울 용산구 청파동2가 95,126.970086910153,37.5455699745604
바다식당,부대찌개,서울 용산구 한남동 743-7,126.999512794544,37.5371606767529
연신네 불오징어,불오징어,서울 은평구 대조동 185-34,126.921009418923,37.6181231715425
보들이족발,족발,서울 은평구 대조동 185-44,0,0
중화원,짬뽕,서울 은평구 대조동 197-19,126.920556990266,37.6170916871638
한일식당,생선구이,서울 종로구 관수동 43-2,126.991141229033,37.5698965737949
할매집,감자탕,서울 종로구 내자동 108,126.971443960847,37.5756745065346
찬양집,바지락칼국수,서울 종로구 돈의동 27,126.990279323836,37.5727926649751
수와래,파스타,서울 종로구 삼청동 35-116,126.982003639667,37.5826746090241
원조누드김밥,누드김밥,서울 종로구 예지동 30-4 광장시장 41호,126.998015010641,37.5698216563609
삼숙이라면,파채라면,서울 종로구 인사동 220-2,126.985569312803,37.5716298995453
서린낙지,낙지볶음,서울 종로구 종로1가 24 르메이에르 종로타운 2층,126.979850194195,37.5704589394035
계림,닭볶음탕,서울 종로구 종로3가 167,126.994503560646,37.5701570757924
은성횟집,대구매운탕,서울 종로구 종로4가 165-2,127.000330985238,37.5704433594096
호남집,야채곱창,서울 종로구 종로5가 225-27,127.004801542742,37.5703323497016
원할매 소문난 닭한마리,닭한마리 칼국수,서울 종로구 종로5가 282-21,0,0
옥천매운족발,매운족발,서울 종로구 창신1동 142-27,127.011574491746,37.5731733483432
낙산냉면,매운냉면,서울 종로구 창신동 81-8,127.015264067019,37.5744879308907
남도식당,연탄삼겹살,서울 종로구 청진동 204-1,126.97945318447,37.5722204066878
라면점빵,라면,서울 종로구 필운동 202,126.970125445662,37.5765963480451
혜화 칼국수,칼국수,서울 종로구 혜화동 84-3,127.001515682217,37.5865647477894
라면 땡기는 날,짬뽕라면,서울 종로구 화동 138-21,126.982286005411,37.5792933123766
포춘레스토랑,러시아 요리,서울 중구 광희동1가 250-1 2층,127.004983068577,37.564629128843
우정,국물 닭발,서울 중구 신당동 304-791,127.014922464869,37.5627832305697
머거보까매운불갈비찜,매운갈비찜,서울 중구 신당동 368-60,127.010631136186,37.5536455108881
풍남원조골뱅이,골뱅이,서울 중구 을지로3가 350-1,126.989983128147,37.5656747755075
평안도 족발집,족발,서울 중구 장충동1가 62-16,127.006049844949,37.5602638407003
닭칼원조집,닭한마리,서울 중구 중림동 110-3,126.969114043012,37.5585661716063
중림장,도가니탕,서울 중구 중림동 468,126.967707411422,37.5602659766045
호남식당,쫄갈비,서울 중구 충무로4가 127-16,126.995652278023,37.5622241241952
복정집,오징어찌개,서울 중구 충무로4가 306,126.997667728847,37.5625353854314
용마해장국,해장국,서울 중랑구 망우동 407-28,127.101532640413,37.5944443230661
신촌칼국수,칼국수,서울특별시 마포구 노고산동 40-9,126.939436917948,37.5556607654732
복기불닭발,닭발,울산 남구 달동 703-5,129.32109784952,35.534534898009
북경통닭,마늘치킨,울산 동구 전하1동 300-264,129.431245434152,35.5178940249264
